category	tag	miss_words	miss_weight
news_fresh	sibilant	108	8950
news_fresh	inflected	42	2936
news_fresh	vowel_initial	41	2577
news_fresh	chandrabindu_dropped	5	2113
news_fresh	oov	126	1797
news_fresh	conjunct_shape	25	434
news_fresh	split	27	384
news_fresh	ranking_other	9	308
news_fresh	long_compound	19	218
news_fresh	dental_retroflex	11	147
news_fresh	vowel_length	8	100
news_fresh	ya_ja	2	20
news_fresh	khanda_ta	1	11
places	oov	1102	5700
places	sibilant	156	3066
places	split	275	1797
places	vowel_initial	147	1615
places	vowel_length	227	1066
places	inflected	198	986
places	conjunct_shape	139	870
places	long_compound	87	498
places	na_nna	46	254
places	dental_retroflex	34	139
places	ya_ja	13	131
places	chandrabindu_dropped	25	110
places	ranking_other	7	60
places	khanda_ta	12	38
unions_villages	oov	1524	2416
unions_villages	split	501	826
unions_villages	vowel_length	270	649
unions_villages	vowel_initial	139	517
unions_villages	conjunct_shape	147	204
unions_villages	long_compound	135	189
unions_villages	sibilant	99	187
unions_villages	inflected	131	165
unions_villages	dental_retroflex	88	124
unions_villages	na_nna	50	72
unions_villages	chandrabindu_dropped	50	59
unions_villages	ranking_other	12	18
unions_villages	khanda_ta	4	8
unions_villages	ya_ja	6	6
unions_villages	final_okar_dropped	2	2
people	sibilant	157	2074
people	oov	989	1883
people	inflected	262	747
people	vowel_initial	185	663
people	long_compound	216	653
people	split	311	573
people	conjunct_shape	136	305
people	vowel_length	139	291
people	na_nna	40	74
people	ranking_other	10	52
people	dental_retroflex	26	44
people	chandrabindu_dropped	20	41
people	khanda_ta	12	26
people	ya_ja	6	12
people	ba_bha	2	3
people	final_okar_dropped	3	3
science	oov	3441	16913
science	split	1027	4851
science	vowel_initial	715	4457
science	long_compound	889	3795
science	inflected	841	3772
science	conjunct_shape	533	2861
science	sibilant	149	1838
science	dental_retroflex	310	1413
science	vowel_length	155	772
science	na_nna	96	538
science	khanda_ta	66	415
science	chandrabindu_dropped	19	87
science	ranking_other	7	65
science	ya_ja	13	63
science	final_okar_dropped	11	33
science	final_okar_added	1	14
objects	oov	2119	7090
objects	sibilant	188	2330
objects	split	435	1671
objects	inflected	540	1615
objects	vowel_initial	322	1519
objects	conjunct_shape	306	1132
objects	long_compound	344	1044
objects	dental_retroflex	194	619
objects	vowel_length	126	377
objects	na_nna	43	149
objects	chandrabindu_dropped	56	132
objects	ranking_other	20	77
objects	khanda_ta	23	63
objects	ya_ja	19	59
objects	final_okar_dropped	16	35
objects	final_okar_added	1	2
objects	ba_bha	1	2
literature	oov	1960	18516
literature	inflected	639	5929
literature	conjunct_shape	384	3890
literature	split	329	3139
literature	sibilant	156	2546
literature	vowel_initial	241	2507
literature	vowel_length	146	1238
literature	long_compound	142	1119
literature	chandrabindu_dropped	101	795
literature	khanda_ta	51	663
literature	na_nna	67	561
literature	ranking_other	34	372
literature	dental_retroflex	32	245
literature	ya_ja	21	182
literature	final_okar_dropped	11	105
literature	ba_bha	1	5
literature_wikisource	oov	1465	133090
literature_wikisource	conjunct_shape	338	40209
literature_wikisource	inflected	440	34682
literature_wikisource	sibilant	182	24911
literature_wikisource	vowel_initial	219	19249
literature_wikisource	split	182	11440
literature_wikisource	vowel_length	97	6965
literature_wikisource	dental_retroflex	36	6396
literature_wikisource	na_nna	45	3191
literature_wikisource	long_compound	45	3158
literature_wikisource	ya_ja	44	3115
literature_wikisource	khanda_ta	31	1862
literature_wikisource	chandrabindu_dropped	29	1534
literature_wikisource	ranking_other	13	1195
literature_wikisource	final_okar_dropped	1	109
literature_wikisource	ba_bha	1	45
wikipedia_general	oov	328	82541
wikipedia_general	split	91	62329
wikipedia_general	vowel_length	36	56420
wikipedia_general	sibilant	106	33847
wikipedia_general	vowel_initial	71	13168
wikipedia_general	inflected	66	7286
wikipedia_general	long_compound	66	7249
wikipedia_general	conjunct_shape	64	5159
wikipedia_general	dental_retroflex	15	994
wikipedia_general	ranking_other	7	795
wikipedia_general	chandrabindu_dropped	7	577
wikipedia_general	khanda_ta	8	574
wikipedia_general	na_nna	3	168
wikipedia_general	ya_ja	1	57
ALL	oov	13054	269946
ALL	split	3178	87010
ALL	sibilant	1301	79749
ALL	vowel_length	1204	67878
ALL	inflected	3159	58118
ALL	conjunct_shape	2072	55064
ALL	vowel_initial	2080	46272
ALL	long_compound	1943	17923
ALL	dental_retroflex	746	10121
ALL	chandrabindu_dropped	312	5448
ALL	na_nna	390	5007
ALL	khanda_ta	208	3660
ALL	ya_ja	125	3645
ALL	ranking_other	119	2942
ALL	final_okar_dropped	44	287
ALL	ba_bha	5	55
ALL	final_okar_added	2	16
