পুলিশ	298	true	typist	pulis	পুলিস	DICTIONARY	পুলিস|পুলিশি|পুলিন|পুলিশের|পুলিশকে|পুলিশে	sibilant
খ্রিষ্টাব্দে	181	true	typist	khristabde	খ্রিস্টাব্দে	DICTIONARY	খ্রিস্টাব্দে|খৃষ্টাব্দে|খ্রিস্টাব্দের|খ্রিষ্টাব্দের|খ্রীষ্টাব্দের|খ্রীস্টাব্দের	sibilant,long_compound,inflected
শেখ	172	true	typist	sekh	সেখ	DICTIONARY	সেখ|সেখানে|সেখান|সেখানেই|সেখানকার|সেখানের	sibilant
শাহ	128	true	typist	sah	সাহ	DICTIONARY	সাহ|সাহিত্য|সাহস|সাহিত্যিক|সাহেব|সাহিত্যের	sibilant
অংশ	121	true	typist	ongs	অংস	DICTIONARY	অংস|অংশে|অংশগ্রহণ|অংশের|অংশীদার|অংশটি	sibilant,vowel_initial
পাশ	110	true	typist	pas	পাস	DICTIONARY	পাস|পায়স|পাচ্ছ|পাছ|পাশে|pas	sibilant
বেশ	106	true	typist	bes	বেস	DICTIONARY	বেস|বয়েস|বেচছ|বেশি|বেশী|বেশিরভাগ	sibilant
দেশ	96	true	typist	des	দেস	DICTIONARY	দেস|ডেস|দ্বেষ|দেছ|দেশের|des	sibilant
শামসুল	76	true	typist	samosul	সামসুল	DICTIONARY	সামসুল|শামছুল|সামছুল|সামসসহ|সামসুদ|সামসুকে	sibilant
খ্রিষ্টাব্দের	66	true	typist	khristabder	খ্রিস্টাব্দের	DICTIONARY	খ্রিস্টাব্দের|খ্রীস্টাব্দের|খ্রীষ্টাব্দের	sibilant,long_compound,inflected
দাশ	63	true	typist	das	দাস	DICTIONARY	দাস|ডাস|দশ|ড্যাশ|ডাঁশ|das	sibilant
রশিদ	58	true	typist	rosid	রসিদ	DICTIONARY	রসিদ|রশীদ|রসিক|রসিদের|রসিদে|রসিকতা	sibilant
আই	56	true	canonical	ai	এই	DICTIONARY	এই|আইড়|আড়ি|আয়ই|অই|ai	vowel_initial
আর্কাইভকৃত	43	false	canonical	arkaibhokrrit	আর্কাইভকর্মী	DICTIONARY	আর্কাইভকর্মী|আর্কাইভস	oov,conjunct_shape,vowel_initial
আর্কাইভকৃত	43	false	typist	arkaivokrrit	আর্কাইভকর্মী	DICTIONARY	আর্কাইভকর্মী|আর্কাইভ|আর্কাইভে|আর্কাইভস	oov,conjunct_shape,vowel_initial
আবদুশ	30	true	typist	abodus	আবদুস	DICTIONARY	আবদুস|আবদুন|আবদুর|আবদুল|আবদুছ|অবদুস	sibilant,vowel_initial
গ্রন্থতালিকা	29	false	canonical	gronthotalika	গ্রন্থ তালিকা	DICTIONARY	গ্রন্থ তালিকা|গ্রন্থটি|গ্রন্থটির|গ্রন্থটিতে	oov,split,long_compound
খ্রিষ্টাব্দ	27	true	typist	khristabd	খ্রিস্টাব্দ	DICTIONARY	খ্রিস্টাব্দ|খ্রীস্টাব্দ|খৃষ্টাব্দ|খ্রীষ্টাব্দ|খ্রিস্টাব্দে|খ্রিস্টাব্দের	sibilant
দাশের	27	true	typist	daser	দাসের	DICTIONARY	দাসের|daser|দ্যাশের|দাসেরক|দায়ের|দাসেরও	sibilant,inflected
দাশগুপ্ত	26	true	typist	dasogupt	দাসগুপ্ত	DICTIONARY	দাসগুপ্ত|দাসগুপ্তের|দাশগুপ্তের|দাশগুপ্তর|দাসগুপ্তা	sibilant
তাপিশ্রী	23	false	typist	tapisri	তাপিস্রি	CLEAN_TRANSLITERATION	তাপিস্রি|তাপীয়|টাপির|তাপিত	oov
বিকাশ	19	true	typist	bikas	বিকাস	DICTIONARY	বিকাস|বিকাশে|বিকাশকে|বিকাশশীল|বিকাশের|বিকাল	sibilant
হাশেম	19	true	typist	hasem	হাসেম	DICTIONARY	হাসেম|হাসেন|হাশেমী|হাশেমিয়া|হাশেমি|হাসেছি	sibilant
অবদানেন	17	false	canonical	obodanen	অবদানে	DICTIONARY	অবদানে|অবদানের|ওবদানেন	oov,vowel_initial
আশা	17	true	typist	asa	আসা	DICTIONARY	আসা|আসায়|আচ্ছা|আস্হা|আসার|আসাম	sibilant,vowel_initial
বারী	17	true	typist	bari	বাড়ি	DICTIONARY	বাড়ি|বাড়ী|বারি|ব্যারি|বাড়িই|bari	ranking_other
মুখোশ	16	true	typist	mukhos	মুখোস	DICTIONARY	মুখোস|মুখস্থ|মুখশশী|মুখোশের|মুখস্ত|মুখোশটা	sibilant
শেরে	16	true	typist	sere	সেরে	DICTIONARY	সেরে|ছেড়ে|ছেঁড়ে|ছেরে|সেরেনা|সেরেস্তাদার	sibilant,inflected
আশির	14	true	typist	asir	আসির	DICTIONARY	আসির|অসির|আছির|আশীর্বাদ|আসিও|আসিরীয়	sibilant,vowel_initial
