taroporta	তারপরেতে	তারপর
danraoer	দান্তেওয়ারার	দানরাওএর
danraota	দানগ্রহীতা	দানরাঅতা
pulisherte	পুলিশকর্তাদের	পুলিশেরতে
pulisherke	পুলিশকর্মীকে	পুলিশেরকে
beshirobhagte	বেশিরভাগ	বেশিরভাগতে
beshirobhagke	বেশিরভাগ	বেশিরভাগকে
andolonerta	আন্দামানফেরত	আন্দলনেরতা
zekonoer	যেকোনোটির	জেকনএর
shoktta	শক্ত	শক্তিটা
meyekeer	মিকার	মেয়েকীর
kriirao	ক্রীতদাসরা	ক্রীড়া
garitete	গাড়িটি	গারিতেতে
gariteke	গাড়িটি	গারিতেকে
gruperi	গ্রুপে	গ্রুপের
janateer	জান্নাতি	জানাতীর
bigyanerta	বিজ্ঞানচর্চা	বিজ্ঞানেরতা
biporiiteta	বিপ্রতিপত্তি	বিপরীতেতা
mujiburta	মুজিবুর	মুজিবুরতা
rajodhaniirta	রাজধানীখ্যাত	রাজধানীরতা
lagoloer	লাগলো	লাগলএর
somobarta	সমবর্তিতা	শোকবার্তা
aaronta	আড়তনা	আরন্তা
adriante	আদ্রিয়ানের	আদরিআন্তে
adviseer	অ্যাডভাইজার	আদ্ভিসীর
advisee	অ্যাডভাইজার	আদ্ভিসী
agingte	আইনগত	আগিংতে
agingta	আইনগত	আগিংতা
alaskata	আলাস্কা	আলাসকাতা
alpinete	আলপিন	আল্পিনেতে
amazonte	অ্যামাজনতে	আমাজন্তে
americante	আমেরিকান	আমেরিছান্তে
andersoner	আন্দোলনের	আন্দেরসনের
angerer	অ্যাঙ্গার্ড	আঙেরের
archivete	আর্চারিতে	আরচিভেতে
archiveta	আর্চিসে	আরচিভেতা
ariseer	রাইজার	আরিসীর
armeder	আর্মেনীয়দের	আর্মিদের
armeniate	আর্মেনিয়া	আরমেনিআতে
armeniata	আর্মেনিয়াকা	আরমেনিআতা
askingta	আস্কিং	আসকিংতা
atlantata	আটলান্টা	আতলান্তাতা
auburner	আউবার্ন	আউবুরনের
audigulo	অডিওগুলো	আউদিগুল
auditer	অডিটেড	আউদিতের
australiante	অস্ট্রেলিয়ান	আউস্ত্রালিআন্তে
badgeer	ব্যাজার	বাদ্গীর
barbarata	বারবারা	বারবারাতা
bargainta	বার্গান্ডির	বারগাইন্তা
baseser	বাসির	বাসেসের
basesta	বাসেস্কু	বাসেসতা
basinta	বাসিতনা	বাসিন্তা
beanser	বোনের	বেআন্সের
beganer	বোনের	বেগানের
belower	ব্লোয়ার	বেলওয়ের
besidee	বেডসাইড	বেসিদী
bikeste	বিকেএসপিতে	বিকেসতে
bikesta	বিকেএসপিতে	বিকেসতা
bladete	ব্লাডি	ব্লাদেতে
boneser	বনির	বনেসের
bosniate	বস্তাতে	বসনিআতে
bosniagulo	বস্তাগুলো	বসনিআগুলো
bravete	ব্রাভোকে	বরাভেতে
braveta	ব্রাভেরিয়া	বরাভেতা
breakte	ব্রেকফাস্টে	বরেআক্তে
breakta	ব্রেকপ্যাড	বরেআক্তা
briante	ব্রীড়ানত	বরিআন্তে
broaderer	ব্রোকারের	বরোআদেরের
