আদমশুমারীর	131	false	canonical	adomoshumariir	আদমশুমারির	DICTIONARY	আদমশুমারির|আদমশুমারি|আদমশুমারিতে	oov,vowel_length,vowel_initial
আদমশুমারীর	131	false	typist	adomosumarir	আদমশুমারির	DICTIONARY	আদমশুমারির	oov,vowel_length,vowel_initial
গ্রামসমূহ	66	false	canonical	gramosomuuh	গ্রাম সমূহ	DICTIONARY	গ্রাম সমূহ|গ্রামস্থ|গ্রামস|গ্রাম সমুহ	oov,split
গ্রামসমূহ	66	false	typist	gramosomuh	গ্রাম সমূহ	DICTIONARY	গ্রাম সমূহ|গ্রামস্থ|গ্রামস|গ্রাম সমুহ	oov,split
অংশ	42	true	typist	ongs	অংস	DICTIONARY	অংস|অংশে|অংশগ্রহণ|অংশের|অংশীদার|অংশটি	sibilant,vowel_initial
গৃহগণনা	15	false	canonical	grrihogonona	গৃহ গণনা	DICTIONARY	গৃহ গণনা|গৃহযুদ্ধ|গৃহপালিত|গৃহযুদ্ধের|গৃহ গননা	oov,split
জনশুমারি	15	false	typist	jonosumari	জন শুমারি	DICTIONARY	জন শুমারি|জনশূন্য|ঝন শুমারি|জনসুমারি	oov,split
মান্ডা	14	true	canonical	manda	মান্দা	DICTIONARY	মান্দা|মান্দার|ম্যান্ডারিন|মান্দারতলা|মান্দারিন|manda	dental_retroflex
গড়াইটুপি	12	false	canonical	goraitupi	গড়াই টুপি	DICTIONARY	গড়াই টুপি|গড়াইতে|গড়ায় টুপি|গড়াই টুপী|গড়ায় টুপী|গরাইতুপি	oov,split
চাষ	12	true	typist	chas	চাস	DICTIONARY	চাস|চাচ্ছ|চাষের|চাষে|চাষী|chas	sibilant
আন্দুলবাড়ীয়া	11	false	canonical	andulobariiya	আন্দুলবাড়িয়া	DICTIONARY	আন্দুলবাড়িয়া|আন্দুলিয়া|আন্দুলবাড়িয়া|আন্দুলবাড়িয়া|আন্দুলবারীয়া	oov,vowel_length,long_compound,vowel_initial
আন্দুলবাড়ীয়া	11	false	typist	andulobariya	আন্দুলবাড়িয়া	DICTIONARY	আন্দুলবাড়িয়া|আন্দুলবাড়িয়া|আন্দুলবাড়িয়া	oov,vowel_length,long_compound,vowel_initial
কাটেংগা	9	false	canonical	katengga	কাটেঙ্গা	DICTIONARY	কাটেঙ্গা|কাটেনি|কাটেন|কাটতেন|কাটেননা|কাটেননি	oov,conjunct_shape
বাটাজোড়া	8	false	canonical	batajora	বাটাজোর	DICTIONARY	বাটাজোর|বাতাস|বাতাসের|বাতাসে|বাতাগ্রাম|বাতাজরা	oov
