বিষয়শ্রেণী	53611	false	typist	bisoyosreni	বিষয় শ্রেণি	DICTIONARY	বিষয় শ্রেণি|বিষয়সমূহ|বিষয়সমূহের|বিষয়সহ|বিষয় শ্রেনি|বিষয় শ্রেণি	oov,split,vowel_length
অংশ	4613	true	typist	ongs	অংস	DICTIONARY	অংস|অংশে|অংশগ্রহণ|অংশের|অংশীদার|অংশটি	sibilant,vowel_initial
দেশ	3595	true	typist	des	দেস	DICTIONARY	দেস|ডেস|দ্বেষ|দেছ|দেশের|des	sibilant
বেশ	2640	true	typist	bes	বেস	DICTIONARY	বেস|বয়েস|বেচছ|বেশি|বেশী|বেশিরভাগ	sibilant
তথ্যছক	2116	false	typist	tothyochok	তথ্য চক	DICTIONARY	তথ্য চক|তথ্যচিত্র|তথ্যচিত্রে|তথ্যচিত্রের|তথ্য ছক|তথ্যচক	oov,split
ের	1897	false	canonical	er	এর	DICTIONARY	এর|এঁর|এড়|এরই|এরও|এরং	oov
শেখ	1863	true	typist	sekh	সেখ	DICTIONARY	সেখ|সেখানে|সেখান|সেখানেই|সেখানকার|সেখানের	sibilant
শাহ	1678	true	typist	sah	সাহ	DICTIONARY	সাহ|সাহিত্য|সাহস|সাহিত্যিক|সাহেব|সাহিত্যের	sibilant
খ্রিষ্টাব্দে	1313	true	typist	khristabde	খ্রিস্টাব্দে	DICTIONARY	খ্রিস্টাব্দে|খৃষ্টাব্দে|খ্রিস্টাব্দের|খ্রিষ্টাব্দের|খ্রীষ্টাব্দের|খ্রীস্টাব্দের	sibilant,long_compound,inflected
পুলিশ	1243	true	typist	pulis	পুলিস	DICTIONARY	পুলিস|পুলিশি|পুলিন|পুলিশের|পুলিশকে|পুলিশে	sibilant
রুশ	1236	true	typist	rus	রুস	DICTIONARY	রুস|রুশদ|রুশো|রুই|রুষ্ট|রু	sibilant
আবিষ্কার	1124	true	typist	abiskar	আবিস্কার	DICTIONARY	আবিস্কার|অবিষ্কার|আবিষ্কারক|আবিস্কারের|আবিষ্কারের|আবিষ্কারে	sibilant,vowel_initial
চাষ	657	true	typist	chas	চাস	DICTIONARY	চাস|চাচ্ছ|চাষের|চাষে|চাষী|chas	sibilant
বিকাশ	603	true	typist	bikas	বিকাস	DICTIONARY	বিকাস|বিকাশে|বিকাশকে|বিকাশশীল|বিকাশের|বিকাল	sibilant
আই	599	true	canonical	ai	এই	DICTIONARY	এই|আইড়|আড়ি|আয়ই|অই|ai	vowel_initial
