t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.3	boot+0s	16.0	25.6	9.4	12.5	88.3	33.4	121.6
   5.5	boot+5s	19.4	33.4	16.3	13.7	53.5	33.3	117.9
  10.6	boot+10s	19.4	33.4	16.2	13.7	47.7	33.2	112.1
  15.8	boot+15s	19.2	33.4	14.0	16.0	65.9	40.3	126.4
  21.0	boot+20s	19.2	33.4	14.0	16.0	43.7	40.3	103.9
  26.1	boot+25s	19.2	33.4	14.0	16.0	43.7	40.3	103.9
  31.3	boot+30s	19.2	33.6	14.0	16.1	43.7	40.3	103.9
  36.5	boot+35s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  41.6	boot+40s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  46.8	boot+45s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  51.9	boot+50s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  57.1	boot+55s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  62.2	boot+60s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  67.4	boot+65s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  72.6	boot+70s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  77.7	boot+75s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  82.9	boot+80s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  88.1	boot+85s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  93.2	boot+90s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
  98.4	boot+95s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
 103.5	boot+100s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
 108.7	boot+105s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
 113.9	boot+110s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
 119.0	boot+115s	19.2	33.6	14.0	16.1	43.7	40.3	103.8
 124.2	boot+120s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 129.3	boot+125s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 134.5	boot+130s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 139.7	boot+135s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 144.8	boot+140s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 150.0	boot+145s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 155.1	boot+150s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 160.3	boot+155s	19.2	33.6	14.0	16.1	43.7	40.3	103.6
 165.5	boot+160s	19.2	33.6	14.0	16.1	43.7	40.3	102.8
 170.6	boot+165s	19.2	33.6	14.0	16.1	43.7	40.3	102.8
 175.8	boot+170s	19.2	33.6	14.0	16.1	43.7	40.3	102.8
 180.9	boot+175s	19.2	33.6	14.0	16.1	43.7	40.3	102.8
 192.0	typing-burst-1	249.4	261.1	114.5	142.3	62.9	48.1	359.1
 198.5	typing-burst-2	283.0	295.6	199.5	91.9	62.4	50.5	392.7
 205.0	typing-burst-3	299.4	323.6	165.1	154.3	86.6	53.2	433.7
 218.3	idle-after-typing+10s	211.6	324.4	78.3	241.7	95.8	48.6	355.3
 228.5	idle-after-typing+20s	95.3	326.1	16.1	305.7	51.7	44.0	194.8
 238.7	idle-after-typing+30s	95.3	326.1	16.1	305.7	47.1	44.0	190.1
 248.9	idle-after-typing+40s	95.3	326.1	16.1	305.7	47.1	44.0	190.1
 259.1	idle-after-typing+50s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 269.3	idle-after-typing+60s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 279.5	idle-after-typing+70s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 289.7	idle-after-typing+80s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 299.9	idle-after-typing+90s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 310.2	idle-after-typing+100s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 320.4	idle-after-typing+110s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 330.6	idle-after-typing+120s	87.2	326.1	16.1	305.7	47.1	44.0	182.0
 333.8	after-trim-RUNNING_CRITICAL	78.5	326.4	17.0	304.8	64.7	17.4	200.1
 337.1	after-trim-COMPLETE	78.5	326.4	17.0	304.8	37.2	17.4	168.9
 357.3	final	40.8	329.9	23.1	302.7	36.5	25.3	132.6
