t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.2	boot+0s	13.5	24.6	8.3	12.6	23.6	24.8	47.4
   5.3	boot+5s	14.3	30.4	14.4	12.1	28.3	24.7	78.8
  10.5	boot+10s	14.3	30.4	14.4	12.1	28.1	24.7	78.6
  15.7	boot+15s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  20.8	boot+20s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  26.0	boot+25s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  31.2	boot+30s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  36.3	boot+35s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  41.5	boot+40s	14.4	30.4	14.4	12.1	28.1	24.7	78.6
  46.6	boot+45s	14.4	30.4	14.4	12.1	28.1	24.7	78.5
  51.8	boot+50s	14.4	30.4	14.4	12.1	28.1	24.7	78.7
  57.0	boot+55s	14.4	30.4	14.4	12.1	28.1	24.7	78.7
  67.9	typing-burst-1	276.6	293.6	21.4	268.2	69.5	31.4	392.4
  74.5	typing-burst-2	141.8	293.9	29.4	260.7	62.7	31.6	251.5
  81.1	typing-burst-3	191.1	294.1	17.2	273.1	60.0	30.6	298.7
  94.4	idle-after-typing+10s	163.3	294.1	133.4	156.9	49.1	29.7	260.0
 104.6	idle-after-typing+20s	122.1	294.1	15.8	274.5	33.1	25.5	202.8
 114.7	idle-after-typing+30s	122.1	294.1	15.8	274.5	28.9	25.5	198.5
 124.9	idle-after-typing+40s	122.1	294.1	15.8	274.5	28.9	25.5	198.5
 135.1	idle-after-typing+50s	122.1	294.1	15.8	274.5	28.9	25.5	198.5
 145.3	idle-after-typing+60s	122.1	294.1	15.8	274.5	28.9	25.5	198.5
 155.4	idle-after-typing+70s	122.1	294.1	15.8	274.5	28.9	25.5	198.5
 165.6	idle-after-typing+80s	110.5	294.1	15.8	274.5	28.9	25.5	186.9
 175.8	idle-after-typing+90s	110.5	294.1	15.8	274.5	28.9	25.5	186.9
 185.9	idle-after-typing+100s	110.5	294.1	15.8	274.5	28.9	25.5	186.9
 196.1	idle-after-typing+110s	110.5	294.1	15.8	274.5	28.9	25.5	186.8
 206.3	idle-after-typing+120s	110.5	294.1	15.8	274.5	28.9	25.5	186.4
 209.6	after-trim-RUNNING_CRITICAL	110.5	294.1	15.8	274.5	28.9	19.2	186.4
 212.8	after-trim-COMPLETE	110.5	294.1	15.8	274.5	22.5	19.2	180.0
 233.0	final	110.5	294.1	15.8	274.5	22.5	19.2	180.0
