t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.1	boot+0s	4.0	14.9	8.0	2.4	4.7	6.5	15.1
   5.3	boot+5s	20.0	32.1	13.3	14.6	55.1	30.7	111.8
  10.5	boot+10s	20.3	32.1	13.3	14.6	34.2	30.7	91.0
  15.7	boot+15s	20.3	32.1	13.3	14.6	34.2	30.7	91.0
  20.8	boot+20s	19.5	32.1	13.3	14.6	34.2	30.7	90.2
  26.0	boot+25s	19.5	32.1	13.3	14.6	34.2	30.7	90.2
  31.2	boot+30s	19.5	32.1	13.3	14.6	34.2	30.7	90.1
  36.3	boot+35s	19.6	32.1	13.3	14.6	34.2	30.7	90.2
  41.5	boot+40s	19.6	32.1	13.3	14.6	34.2	30.7	90.2
  46.7	boot+45s	19.6	32.1	13.3	14.6	34.2	30.7	90.2
  51.9	boot+50s	19.6	32.1	13.3	14.6	34.2	30.7	90.3
  57.0	boot+55s	19.6	32.1	13.3	14.6	34.2	30.7	90.3
  68.0	typing-burst-1	102.8	137.9	85.1	48.8	84.0	36.8	229.7
  74.4	typing-burst-2	85.6	138.9	79.9	55.2	78.1	36.6	211.4
  80.8	typing-burst-3	97.6	139.4	80.6	55.1	78.4	36.6	224.4
  94.1	idle-after-typing+10s	84.6	139.4	79.9	55.8	66.3	36.1	199.3
 104.3	idle-after-typing+20s	81.7	139.4	14.9	120.8	39.5	31.6	169.6
 114.5	idle-after-typing+30s	46.7	139.4	14.9	120.8	35.0	31.6	130.1
 124.7	idle-after-typing+40s	46.7	139.4	14.9	120.8	35.0	31.6	130.1
 134.8	idle-after-typing+50s	46.7	139.4	14.9	120.8	35.0	31.6	130.1
 145.0	idle-after-typing+60s	46.7	139.4	14.9	120.8	35.0	31.6	130.1
 155.2	idle-after-typing+70s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 165.4	idle-after-typing+80s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 175.5	idle-after-typing+90s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 185.7	idle-after-typing+100s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 195.8	idle-after-typing+110s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 206.0	idle-after-typing+120s	46.7	139.4	14.9	120.8	35.0	31.6	129.9
 209.3	after-trim-RUNNING_CRITICAL	46.7	139.4	14.9	120.8	35.0	25.2	129.9
 212.5	after-trim-COMPLETE	46.7	139.4	14.9	120.8	28.7	25.2	123.5
 232.7	final	46.7	139.4	14.9	120.8	28.7	25.2	123.5
