t	phase	nativePss	nativeSize	nativeAlloc	nativeFree	dalvikPss	dalvikAlloc	totalPss
   0.1	boot+0s	2.3	13.6	6.1	2.7	0.5	5.0	8.4
   5.3	boot+5s	17.5	29.1	14.4	10.6	41.5	24.7	95.5
  10.5	boot+10s	16.4	29.1	14.4	10.7	28.1	24.7	80.9
  15.6	boot+15s	16.7	29.1	14.4	10.7	28.1	24.7	81.2
  20.8	boot+20s	16.7	29.1	14.4	10.7	28.1	24.7	81.4
  26.0	boot+25s	16.7	29.1	14.4	10.7	28.1	24.7	81.4
  31.1	boot+30s	16.7	29.1	14.4	10.7	28.1	24.7	81.4
  36.3	boot+35s	16.8	29.1	14.4	10.7	28.1	24.7	81.4
  41.5	boot+40s	16.8	29.1	14.4	10.7	28.1	24.7	81.4
  46.6	boot+45s	16.8	29.1	14.4	10.7	28.1	24.7	81.4
  51.8	boot+50s	16.8	29.1	14.4	10.7	28.1	24.7	81.5
  57.0	boot+55s	16.8	29.1	14.4	10.7	28.1	24.7	81.5
  67.7	typing-burst-1	91.9	134.9	16.1	114.4	46.2	27.4	185.1
  74.0	typing-burst-2	93.8	134.9	18.6	112.4	43.7	34.8	185.3
  80.3	typing-burst-3	95.2	134.9	25.5	105.5	43.0	35.2	186.3
  93.6	idle-after-typing+10s	89.3	134.9	80.8	50.2	65.9	30.8	203.6
 103.8	idle-after-typing+20s	83.2	135.1	15.8	115.3	34.2	25.5	165.7
 114.0	idle-after-typing+30s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 124.1	idle-after-typing+40s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 134.3	idle-after-typing+50s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 144.5	idle-after-typing+60s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 154.7	idle-after-typing+70s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 164.8	idle-after-typing+80s	71.3	135.1	15.8	115.3	28.9	25.5	148.4
 175.0	idle-after-typing+90s	47.0	135.1	15.8	115.3	28.9	25.5	124.1
 185.2	idle-after-typing+100s	47.0	135.1	15.8	115.3	28.9	25.5	123.6
 195.4	idle-after-typing+110s	47.0	135.1	15.8	115.3	28.9	25.5	123.5
 205.6	idle-after-typing+120s	47.0	135.1	15.8	115.3	28.9	25.5	123.5
 208.8	after-trim-RUNNING_CRITICAL	47.0	135.1	15.8	115.3	28.9	19.1	123.5
 212.0	after-trim-COMPLETE	47.0	135.1	15.8	115.3	22.5	19.1	117.1
 232.2	final	47.0	135.1	15.8	115.3	22.5	19.1	117.1
