key	expected	device_commit	device_strip	match	in_strip
kotha	কথা	কথা	কথা|কোঠায়|কোথা|কোঠা	True	True
kal	কাল	কাল	কাল|কাড়ল|ক্যাল|কালো|কালে	True	True
bari	বাড়ি	বাড়ি	বাড়ি|বাড়ী|বারি|ব্যারি|বাড়িই	True	True
pora	পড়া	পড়া	পড়া|পরায়|পরা|পোড়া|পোরা	True	True
pori	পরি	পড়ি	পড়ি|পরি|পরী|পরিচিত|পরিবার	False	True
sona	সোনা	সোনা	সোনা|ছোঁয়া|সোনার|শোনা	True	True
asa	আশা	আসা	আসা|আশা|আসায়|আচ্ছা|এসা	False	True
dan	দান	ডান	ডান|দান|দাঁড়|দাঁ|ড্যান|দ্যান	False	True
kan	কান	কান	কান|কাণ|কানড়|ক্যান|কানাডা	True	True
jol	জল	জল	জল|ঝল|জ্বল|জোল|ঝোল	True	True
jal	জাল	জাল	জাল|ঝাল|জড়াল|জ্বাল|জ্বালানি	True	True
mata	মাতা	মাতা	মাতা|মাটা|মাতায়|মাতাল|মাতার	True	True
mati	মাটি	মাটি	মাটি|মাতি|মাটী|মাটিই|ম্যাটি	True	True
sara	সারা	সারা	সারা|সাড়া|ছাড়া|ছারা|সাঁড়া	True	True
sari	শাড়ি	সারি	সারি|সারী|সাড়ি|শাড়ি|ছাড়ি	False	True
hat	হাত	হাত	হাত|হাট|হ্যাট|হাঁট|হাতে	True	True
hath	হাত	হাত	হাত|হাট|হাথে|হাতই|হাতও	True	True
bala	বালা	বালা	বালা|বলা|বালান|বাল্লা|বালাই	True	True
kala	কালা	কালা	কালা|ক্যালা|কালাম|কালার	True	True
gan	গান	গান	গান|গায়ন|গড়ান|গাঁ|জ্ঞান	True	True
gari	গাড়ি	গাড়ি	গাড়ি|গাড়ী|গারি|গ্যারী|গ্যারি	True	True
dol	দল	দল	দল|ডল|দোল|ডোল|দলের	True	True
chal	চাল	চাল	চাল|ছাল|চালু|চালায়|চালানো	True	True
chul	চুল	চুল	চুল|চাল|চুলের|চুলে|চুলা	True	True
bhat	ভাত	ভাত	ভাত|ভাট|ভ্যাট|ভাতা|ভাটা	True	True
mon	মন	মন	মন|মণ|মৌন|মোন|মনে	True	True
bon	বন	বন	বন|বণ|বোন|বোঁ|বন্য|অবন	True	True
ban	বান	ব্যান	ব্যান|বয়ান|বাঁ|বাণ|বান	False	True
dhan	ধান	ধান	ধান|ধাঁ|ধ্যান|ধান্য|ধানের	True	True
pata	পাতা	পাতা	পাতা|পাটা|পাটায়|পড়াটা|পাতায়	True	True
khali	খালি	খালি	খালি|খালী|খালিই|খালিদ	True	True
kali	কালি	কালি	কালি|কালী|কালিয়|ক্যালি	True	True
tala	তালা	তালা	তালা|টালা|তালায়|তালাক	True	True
kora	করা	করা	করা|কড়া|কোরা|কোড়া|করায়	True	True
nodi	নদী	নদী	নদী|নদি|নদীর|নদীতে|নদীয়া	True	True
nari	নারী	নারী	নারী|নারি|নাড়ি|নাড়ী|নারীর	True	True
para	পাড়া	পাড়া	পাড়া|পরা|পায়রা|পারা|পারায়	True	True
moja	মজা	মজা	মজা|মজায়|মৌজা|মোজা	True	True
roj	রোজ	রোজ	রোজ|রজ|রজ্জ|রজার|রোজা	True	True
raj	রাজ	রাজ	রাজ|রাজ্য|রাজা|রাজনৈতিক	True	True
jor	জোর	জোর	জোর|জ্বর|জোড়|যোড়|জর	True	True
chor	চোর	চর	চর|চৌর|চোর|চড়|ছোঁড়	False	True
din	দিন	দিন	দিন|ডিন|দীন|ডীন|দ্বীন	True	True
sob	সব	সব	সব|সবাই|সবকিছু|শব|সবার	True	True
sobai	সবাই	সবাই	সবাই|সবায়|সব্বাই|সবাইই	True	True
jani	জানি	জানি	জানি|যানি|জানিই|জানিনা	True	True
jano	জানো	জানো	জানো|জানা|জড়ানো|জান	True	True
bolo	বলো	বলো	বলো|বোলা|বোলো|বোল|বল	True	True
bola	বলা	বলা	বলা|বোলা|অবলা|বওলা|বলায়	True	True
khela	খেলা	খেলা	খেলা|খেলায়|খেলার|খেলাই	True	True
kheli	খেলি	খেলি	খেলি|খেলিনি|খেলিবার|খেলিস	True	True
pani	পানি	পানি	পানি|পাণি|পানী|পায়নি|পানিই	True	True
pan	পান	পান	পান|পাণ|পাঁড়|পড়ান|পয়ান	True	True
tel	তেল	তেল	তেল|টেল|তৈল|টেলিভিশন|টেলিফোন	True	True
bel	বেল	বেল	বেল|বয়েল|বৈল|বেলা|বেলায়	True	True
nun	নুন	নুন	নুন|নূন|ন্যূন|নুনের|নুনেজ	True	True
noon	নুন	নয়ন	নয়ন|নুন|নূন|নয়নে|নয়নের	False	True
phul	ফুল	ফুল	ফুল|ফুল্ল|ফুলের|ফুলে|ফুলার	True	True
ful	ফুল	ফুল	ফুল|ফুলে	True	True
bhul	ভুল	ভুল	ভুল|ভূল|ভুলে|ভুলের|ভুলতে	True	True
vul	ভুল	ভুল	ভুল	True	True
shobdo	শব্দ	শব্দ	শব্দ|শব্দটি|শব্দটির|শব্দও	True	True
sobdo	শব্দ	শব্দ	শব্দ|শব্দটি|শব্দটির|শব্দও	True	True
onek	অনেক	অনেক	অনেক|অনেকে|অনেকেই|অনেকটা	True	True
anek	অনেক		আরেক|আরেকজন	False	False
ekhon	এখন	এখন	এখন|এক্ষণ|এখনোই|এখনো	True	True
akhon	এখন	এখন	এখন|অখন|আখন্দ|আখন	True	True
tomar	তোমার	তোমার	তোমার|তমার|তোমারই|তোমারও	True	True
tumar	তোমার	তুমার	তুমার|তোমার|তমার|তুষার	False	True
amader	আমাদের	আমাদের	আমাদের|আমাদেরকে|আমাদেরই	True	True
ader	আদের	আদের	আদের|এদের|অদের|আদেন	True	True
kintu	কিন্তু	কিন্তু	কিন্তু|কিন্তুক|কিন্তুু|কিংও	True	True
kintuk	কিন্তু	কিন্তুক	কিন্তুক|কিংকর|কিংকং|কিংকে	False	False
chorpara	চরপাড়া	চরপাড়া	চরপাড়া|চর্চার|চরফ্যাশন	True	True
nayanpur	নয়নপুর	নায়ান্পুর	নায়ান্পুর|নয়নপুর|নয়ানপুর	False	True
bhorbari	ভোরবাড়ি	ভর্বারি	ভর্বারি|ভরবারি|ভরবরি|ভরবরী	False	False
mirzapur	মির্জাপুর	মির্জাপুর	মির্জাপুর|মির্জাপুরের|মির্জাপুরে	True	True
rangpur	রংপুর	রংপুর	রংপুর|রাঙ্গামাটি|রাঙা|রাঙ্গুনিয়া	True	True
dinajpur	দিনাজপুর	দিনাজপুর	দিনাজপুর|দিনাজপুরের|দিনাজপুরে	True	True
ashulia	আশুলিয়া	আশুলিয়া	আশুলিয়া|আশুলিয়ার|আশুলিয়ায়	True	True
savar	সাভার	সাভার	সাভার|সাগর|সাহার|সাভাকর	True	True
